City_ID,City,Country,Max Temp,City Description,Lat,Lng,Hotel Name
303,Muli,MV,80.42,clear sky,2.9167,73.5667,
306,Gamba,GA,73.81,heavy intensity rain,-2.65,10.0,
309,Beira,MZ,73.49,light rain,-19.8436,34.8389,
310,Bambous Virieux,MU,74.21,scattered clouds,-20.3428,57.7575,
311,Caucaia,BR,82.35,scattered clouds,-3.7361,-38.6531,
313,Hervey Bay,AU,76.24,clear sky,-25.2986,152.8535,
314,Zvishavane,ZW,67.64,overcast clouds,-20.3267,30.0665,
317,Ahuimanu,US,80.31,few clouds,21.4447,-157.8378,
319,Mackay,AU,88.68,scattered clouds,-21.15,149.2,
323,Kabala,SL,64.71,scattered clouds,9.5833,-11.55,
324,Bloemfontein,ZA,60.28,overcast clouds,-29.1211,26.214,
325,Lima,PE,71.91,scattered clouds,-12.0432,-77.0282,
326,Djambala,CG,67.32,overcast clouds,-2.5447,14.7533,
327,Santiago Del Estero,AR,77.49,clear sky,-27.7951,-64.2615,
329,Doka,SD,75.47,overcast clouds,13.5167,35.7667,
330,Te Anau,NZ,74.82,overcast clouds,-45.4167,167.7167,
335,La Romana,DO,71.96,clear sky,18.4273,-68.9728,
337,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,
339,Namibe,AO,73.69,light rain,-15.1961,12.1522,
340,Port Alfred,ZA,66.18,overcast clouds,-33.5906,26.891,
341,Trat,TH,78.87,overcast clouds,12.5,102.5,
344,Tautira,PF,80.65,scattered clouds,-17.7333,-149.15,
348,Lorengau,PG,83.34,overcast clouds,-2.0226,147.2712,
349,Hirara,JP,71.46,scattered clouds,24.8,125.2833,
352,Chimoio,MZ,69.66,scattered clouds,-19.1164,33.4833,
355,Kilindoni,TZ,81.32,broken clouds,-7.9139,39.6668,
356,Isangel,VU,84.6,few clouds,-19.55,169.2667,
357,Eydhafushi,MV,80.94,clear sky,5.1033,73.0708,
360,Emerald,AU,89.35,scattered clouds,-23.5333,148.1667,
362,Gorontalo,ID,87.31,overcast clouds,0.5412,123.0595,
